country_code,iso_weekstartdate,isoyw,inf_all,inf_a,inf_b,avg_temp,humidity,pct_a,pct_b,week,season_sin,season_cos,inf_all_log,inf_a_log,inf_b_log
IND,2022-07-11 00:00:00+00:00,202228.0,5.0,5.0,,1.2478814632849349,59.57155050413821,1.0,,28.0,-0.2393156642875574,-0.970941817426052,1.791759469228055,1.791759469228055,
IND,2022-08-15 00:00:00+00:00,202233.0,61.0,61.0,,18.193574882959044,69.20776806244987,1.0,,33.0,-0.7485107481711011,-0.6631226582407952,4.127134385045092,4.127134385045092,
IND,2022-08-15 00:00:00+00:00,202233.0,61.0,61.0,,24.798210666237217,77.13039774872232,1.0,,33.0,-0.7485107481711011,-0.6631226582407952,4.127134385045092,4.127134385045092,
IND,2022-08-15 00:00:00+00:00,202233.0,61.0,61.0,,1.0180984239412345,62.00585577689285,1.0,,33.0,-0.7485107481711011,-0.6631226582407952,4.127134385045092,4.127134385045092,
IND,2022-09-19 00:00:00+00:00,202238.0,58.0,58.0,,27.316750354701313,88.60573089571523,1.0,,38.0,-0.992708874098054,-0.1205366802553235,4.07753744390572,4.07753744390572,
IND,2022-09-19 00:00:00+00:00,202238.0,58.0,58.0,,-2.945547539798941,40.118849160634944,1.0,,38.0,-0.992708874098054,-0.1205366802553235,4.07753744390572,4.07753744390572,
IND,2022-10-24 00:00:00+00:00,202243.0,25.0,21.0,4.0,28.02915328045855,44.3301486323632,0.84,0.16,43.0,-0.8854560256532101,0.464723172043768,3.258096538021482,3.091042453358316,1.6094379124341003
IND,2022-10-24 00:00:00+00:00,202243.0,25.0,21.0,4.0,4.566055771499077,84.50025398102629,0.84,0.16,43.0,-0.8854560256532101,0.464723172043768,3.258096538021482,3.091042453358316,1.6094379124341003
IND,2022-11-28 00:00:00+00:00,202248.0,10.0,9.0,1.0,15.60854805796519,55.85956428547733,0.9,0.1,48.0,-0.4647231720437684,0.88545602565321,2.3978952727983707,2.302585092994046,0.6931471805599453
IND,2022-11-28 00:00:00+00:00,202248.0,10.0,9.0,1.0,7.051458345746004,42.58375334791746,0.9,0.1,48.0,-0.4647231720437684,0.88545602565321,2.3978952727983707,2.302585092994046,0.6931471805599453
IND,2023-01-02 00:00:00+00:00,202301.0,25.0,23.0,2.0,24.52664562498036,53.74173471567656,0.92,0.08,1.0,0.120536680255323,0.992708874098054,3.258096538021482,3.1780538303479458,1.0986122886681098
IND,2023-01-02 00:00:00+00:00,202301.0,25.0,23.0,2.0,0.355907360286834,82.22093807844719,0.92,0.08,1.0,0.120536680255323,0.992708874098054,3.258096538021482,3.1780538303479458,1.0986122886681098
IND,2023-01-23 00:00:00+00:00,202304.0,45.0,34.0,11.0,6.445441523624663,55.03557332379509,0.7555555555555555,0.2444444444444444,4.0,0.4647231720437685,0.8854560256532099,3.828641396489095,3.5553480614894135,2.4849066497880004
IND,2023-01-23 00:00:00+00:00,202304.0,45.0,34.0,11.0,11.264889168423018,49.93876688670207,0.7555555555555555,0.2444444444444444,4.0,0.4647231720437685,0.8854560256532099,3.828641396489095,3.5553480614894135,2.4849066497880004
IND,2023-02-06 00:00:00+00:00,202306.0,68.0,61.0,7.0,21.243881454752756,71.82655075609439,0.8970588235294118,0.1029411764705882,6.0,0.6631226582407952,0.7485107481711011,4.23410650459726,4.127134385045092,2.0794415416798357
IND,2023-02-06 00:00:00+00:00,202306.0,68.0,61.0,7.0,-1.7471089838810343,54.38856463874876,0.8970588235294118,0.1029411764705882,6.0,0.6631226582407952,0.7485107481711011,4.23410650459726,4.127134385045092,2.0794415416798357
IND,2023-02-27 00:00:00+00:00,202309.0,90.0,69.0,21.0,17.906104766394247,77.85913055739344,0.7666666666666667,0.2333333333333333,9.0,0.8854560256532098,0.4647231720437686,4.51085950651685,4.248495242049359,3.091042453358316
IND,2023-02-27 00:00:00+00:00,202309.0,90.0,69.0,21.0,10.025911918279592,68.12971372008127,0.7666666666666667,0.2333333333333333,9.0,0.8854560256532098,0.4647231720437686,4.51085950651685,4.248495242049359,3.091042453358316
IND,2023-04-03 00:00:00+00:00,202314.0,43.0,22.0,21.0,12.492548542696314,57.65347920295811,0.5116279069767442,0.4883720930232558,14.0,0.992708874098054,-0.1205366802553228,3.784189633918261,3.1354942159291497,3.091042453358316
IND,2023-04-03 00:00:00+00:00,202314.0,43.0,22.0,21.0,6.878796918347641,73.73402252665458,0.5116279069767442,0.4883720930232558,14.0,0.992708874098054,-0.1205366802553228,3.784189633918261,3.1354942159291497,3.091042453358316
IND,2023-05-08 00:00:00+00:00,202319.0,6.0,4.0,2.0,-0.8853607575457578,61.792759298176165,0.6666666666666666,0.3333333333333333,19.0,0.7485107481711013,-0.6631226582407951,1.9459101490553132,1.6094379124341003,1.0986122886681098
IND,2023-05-08 00:00:00+00:00,202319.0,6.0,4.0,2.0,17.52224735596574,71.14677876130179,0.6666666666666666,0.3333333333333333,19.0,0.7485107481711013,-0.6631226582407951,1.9459101490553132,1.6094379124341003,1.0986122886681098
IND,2023-06-12 00:00:00+00:00,202324.0,23.0,5.0,18.0,27.875954282759913,89.0560725017447,0.217391304347826,0.782608695652174,24.0,0.2393156642875576,-0.970941817426052,3.1780538303479458,1.791759469228055,2.9444389791664403
IND,2023-06-12 00:00:00+00:00,202324.0,23.0,5.0,18.0,24.676820519754045,62.023091049857754,0.217391304347826,0.782608695652174,24.0,0.2393156642875576,-0.970941817426052,3.1780538303479458,1.791759469228055,2.9444389791664403
IND,2023-07-17 00:00:00+00:00,202329.0,38.0,21.0,17.0,-4.137940057349715,85.5697088008737,0.5526315789473685,0.4473684210526316,29.0,-0.3546048870425356,-0.9350162426854148,3.6635616461296463,3.091042453358316,2.8903717578961645
IND,2023-07-17 00:00:00+00:00,202329.0,38.0,21.0,17.0,-3.098084164240543,76.6600990805165,0.5526315789473685,0.4473684210526316,29.0,-0.3546048870425356,-0.9350162426854148,3.6635616461296463,3.091042453358316,2.8903717578961645
IND,2023-08-21 00:00:00+00:00,202334.0,92.0,62.0,30.0,12.773096099735945,66.1017522183492,0.6739130434782609,0.3260869565217391,34.0,-0.8229838658936564,-0.5680647467311559,4.532599493153256,4.143134726391533,3.4339872044851463
IND,2023-08-21 00:00:00+00:00,202334.0,92.0,62.0,30.0,4.697211880636365,80.69306967658744,0.6739130434782609,0.3260869565217391,34.0,-0.8229838658936564,-0.5680647467311559,4.532599493153256,4.143134726391533,3.4339872044851463
IND,2023-09-25 00:00:00+00:00,202339.0,27.0,13.0,14.0,6.042712867627104,71.31425575847932,0.4814814814814814,0.5185185185185185,39.0,-1.0,-1.8369701987210294e-16,3.332204510175204,2.6390573296152584,2.70805020110221
