country_code,iso_weekstartdate,isoyw,inf_all,inf_a,inf_b,avg_temp,humidity,pct_a,pct_b,week,season_sin,season_cos,inf_all_log,inf_a_log,inf_b_log
USA,2007-08-20 00:00:00+00:00,200734.0,23.0,22.0,1.0,22.606111903652355,58.45345978475046,0.9565217391304348,0.0434782608695652,34.0,-0.8229838658936564,-0.5680647467311559,3.1780538303479458,3.1354942159291497,0.6931471805599453
USA,2007-09-10 00:00:00+00:00,200737.0,30.0,23.0,7.0,3.930115453806921,67.98604286835466,0.7666666666666667,0.2333333333333333,37.0,-0.970941817426052,-0.2393156642875577,3.4339872044851463,3.1780538303479458,2.0794415416798357
USA,2007-09-24 00:00:00+00:00,200739.0,20.0,20.0,0.0,13.71231915179404,85.43291317809424,1.0,0.0,39.0,-1.0,-1.8369701987210294e-16,3.044522437723423,3.044522437723423,0.0
USA,2007-10-15 00:00:00+00:00,200742.0,48.0,46.0,2.0,12.40983509512096,43.341909501421455,0.9583333333333334,0.0416666666666666,42.0,-0.9350162426854148,0.3546048870425355,3.8918202981106265,3.8501476017100584,1.0986122886681098
USA,2007-10-29 00:00:00+00:00,200744.0,74.0,63.0,11.0,23.67007850744925,78.73973278849576,0.8513513513513513,0.1486486486486486,44.0,-0.822983865893657,0.5680647467311548,4.31748811353631,4.1588830833596715,2.4849066497880004
USA,2007-11-19 00:00:00+00:00,200747.0,140.0,127.0,13.0,4.156715697327813,42.758413889643805,0.9071428571428573,0.0928571428571428,47.0,-0.5680647467311559,0.8229838658936564,4.948759890378168,4.852030263919617,2.6390573296152584
USA,2007-12-03 00:00:00+00:00,200749.0,179.0,157.0,22.0,22.93590418186149,89.00804637609711,0.8770949720670391,0.1229050279329608,49.0,-0.3546048870425359,0.9350162426854148,5.19295685089021,5.062595033026967,3.1354942159291497
USA,2007-12-24 00:00:00+00:00,200752.0,451.0,366.0,85.0,27.85554841087053,48.77319138851628,0.811529933481153,0.188470066518847,52.0,6.432490598706546e-16,1.0,6.113682179832232,5.905361848054571,4.454347296253507
USA,2008-01-28 00:00:00+00:00,200805.0,3818.0,3159.0,659.0,19.037753992188392,87.4662066813055,0.8273965426925092,0.1726034573074908,5.0,0.5680647467311558,0.8229838658936564,8.247743887225516,8.058327306580958,6.492239835020471
USA,2008-03-03 00:00:00+00:00,200810.0,3545.0,2179.0,1366.0,14.689906335429637,56.91466141010282,0.6146685472496474,0.3853314527503526,10.0,0.9350162426854148,0.3546048870425355,8.173575486634153,7.687080155783135,7.220373836723949
USA,2008-04-07 00:00:00+00:00,200815.0,608.0,198.0,410.0,0.351974628795243,70.04506811585198,0.3256578947368421,0.6743421052631579,15.0,0.970941817426052,-0.2393156642875575,6.411818267709897,5.293304824724492,6.018593214496234
USA,2008-04-28 00:00:00+00:00,200818.0,125.0,46.0,79.0,17.576924944075362,86.54192613683901,0.368,0.632,18.0,0.8229838658936565,-0.5680647467311557,4.836281906951478,3.8501476017100584,4.382026634673881
USA,2008-05-12 00:00:00+00:00,200820.0,37.0,18.0,19.0,23.202007225877285,82.32954016408928,0.4864864864864865,0.5135135135135135,20.0,0.6631226582407952,-0.7485107481711012,3.6375861597263857,2.9444389791664403,2.995732273553991
USA,2008-06-02 00:00:00+00:00,200823.0,17.0,12.0,5.0,24.83873589145042,63.18074059334385,0.7058823529411765,0.2941176470588235,23.0,0.3546048870425358,-0.9350162426854148,2.8903717578961645,2.5649493574615367,1.791759469228055
